,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr,fkgl,fkre,a_kup_ps,a_kup_pw,t_bry
1308,4,6,7,8,2,3,0,11,1,4,13,2,4,0,0,12,0,4,5,7,4,1,2,0,10,1,1,6,2,2,0,0,10,0,14.6,57.83,4.469,6.592,73.808,71.748,4.914,289.148
1309,18,22,13,15,12,12,1,30,7,5,27,8,20,4,0,26,1,18,14,11,4,2,6,1,27,7,2,6,7,5,3,0,20,1,15.462,53.072,6.484,5.821,80.867,71.95,4.653,689.939
1310,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1311,3,7,5,6,2,6,0,12,3,1,9,1,11,2,0,9,0,2,7,5,3,1,4,0,10,2,1,6,1,6,2,0,8,0,13.2,54.073,5.048,5.649,78.073,61.536,4.662,270.366
1312,7,4,0,11,3,3,1,14,1,4,12,1,11,1,0,11,7,7,4,0,4,2,2,1,13,1,2,7,1,4,1,0,10,3,11.429,44.049,4.743,2.142,100.06,51.26,4.485,308.343
1313,12,12,5,15,7,10,0,27,2,4,19,0,17,3,1,14,2,11,8,5,3,3,6,0,22,2,3,8,0,5,3,1,14,1,18.714,78.224,5.622,8.553,67.075,94.907,5.071,547.569
1314,2,2,1,3,2,4,0,8,1,1,5,0,3,1,0,6,0,2,2,1,3,2,4,0,7,1,1,3,0,2,1,0,6,0,18.0,69.634,4.007,5.852,85.165,81.385,4.521,139.268
1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1316,9,8,1,8,5,9,0,22,2,1,12,0,11,2,0,9,0,9,7,1,2,2,5,0,18,2,1,8,0,5,1,0,9,0,22.25,91.602,4.947,8.865,71.134,107.433,4.828,366.408
1317,13,13,6,17,5,15,0,30,2,4,28,8,25,2,0,22,3,10,8,6,4,3,4,0,20,1,2,7,5,4,2,0,16,1,24.0,96.214,4.746,7.958,80.754,110.279,4.595,673.498
1318,18,35,35,32,9,25,1,62,7,22,50,5,36,14,1,54,3,17,16,28,8,3,6,1,41,4,2,13,4,7,7,1,36,1,21.882,94.684,6.856,9.375,66.821,106.738,4.878,1609.635
1319,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1320,6,10,2,3,2,10,1,17,0,2,8,9,15,1,0,7,3,6,5,2,1,2,4,1,16,0,1,4,9,5,1,0,6,1,13.5,45.431,5.107,6.719,70.933,58.133,4.306,272.583
1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1322,24,25,29,22,15,16,0,34,2,5,41,1,29,10,0,32,3,22,9,23,8,4,7,0,31,2,2,10,1,4,5,0,27,1,23.545,94.011,6.459,8.081,79.065,109.979,4.671,1034.121
1323,5,12,3,10,1,8,0,14,0,4,24,2,13,1,1,15,2,5,5,3,2,1,3,0,12,0,1,7,2,5,1,1,11,1,9.182,32.616,4.151,2.128,96.163,40.843,4.448,358.779
1324,26,29,29,39,15,24,0,63,3,16,48,0,24,13,0,47,4,22,10,21,6,3,6,0,38,2,2,7,0,3,11,0,30,2,19.778,82.382,5.809,7.47,76.733,100.092,5.061,1482.881
1325,19,21,10,10,7,15,0,38,2,2,21,8,21,1,0,20,2,19,9,8,3,3,6,0,31,2,1,8,5,6,1,0,19,1,13.538,58.073,6.343,7.792,63.309,71.673,5.294,754.954
1326,26,32,12,20,11,24,0,50,2,12,35,1,37,0,0,39,4,22,11,10,6,3,6,0,38,2,3,10,1,9,0,0,33,1,24.455,99.491,6.381,9.783,68.48,123.957,5.069,1094.4
1327,4,7,7,9,4,4,0,16,1,3,10,0,7,2,0,13,0,3,6,7,4,3,3,0,14,1,2,4,0,3,2,0,10,0,16.2,73.98,4.635,6.753,75.503,81.46,5.028,369.901
1328,9,14,9,14,6,12,0,28,3,1,33,0,20,3,0,19,3,9,10,8,4,1,2,0,23,3,1,8,0,6,3,0,16,1,11.846,42.941,5.299,3.895,88.237,55.966,4.724,558.228
1329,14,13,11,11,6,7,0,16,5,5,16,3,19,2,1,16,4,10,9,7,3,4,3,0,13,5,2,6,3,5,2,1,14,1,14.333,55.944,5.292,5.002,84.733,63.752,4.448,503.493
1330,10,14,7,10,8,9,0,23,0,4,25,7,12,6,0,23,2,9,9,4,3,3,3,0,19,0,1,10,4,3,4,0,20,1,20.857,80.306,5.15,8.385,72.092,103.937,4.983,562.14
1331,11,20,16,26,6,11,1,24,1,5,30,1,19,7,0,29,8,10,12,13,5,2,5,1,20,1,2,6,1,10,5,0,25,2,16.333,66.747,5.909,5.711,83.212,72.313,4.427,800.967
1332,3,1,3,5,3,1,0,4,0,3,7,0,4,2,0,7,0,3,1,3,2,3,1,0,4,0,2,5,0,3,2,0,7,0,19.0,83.726,3.9,4.862,94.045,92.53,4.87,167.452
1333,15,22,6,8,10,9,0,36,5,3,20,3,27,2,0,26,1,14,11,5,6,4,6,0,28,5,1,8,3,10,1,0,24,1,18.444,73.86,6.805,8.664,65.801,86.753,4.703,664.743
1334,8,20,7,15,10,7,0,28,6,2,20,3,21,1,1,14,2,8,11,6,6,2,3,0,22,6,1,7,3,5,1,1,12,1,20.429,77.831,5.322,8.881,67.778,95.487,4.674,544.814
1335,2,4,0,3,1,2,2,5,0,0,5,5,7,1,0,3,0,2,3,0,2,1,2,2,5,0,0,3,5,6,1,0,3,0,8.25,26.109,4.185,5.149,72.843,29.18,3.537,104.437
1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1337,7,8,5,3,1,7,0,12,2,0,7,4,21,1,3,8,2,7,5,5,1,1,3,0,10,2,0,6,4,8,1,1,7,1,13.2,57.972,5.309,10.297,44.746,69.082,5.233,289.859
1338,23,20,16,24,7,32,0,41,3,9,22,8,36,9,1,29,2,21,10,13,5,2,7,0,28,3,2,5,7,7,8,1,23,2,20.417,83.687,6.234,6.87,82.175,97.462,4.774,1004.244
1339,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1340,3,0,2,0,0,3,0,3,0,1,4,0,3,0,0,4,0,3,0,2,0,0,1,0,3,0,1,3,0,1,0,0,4,0,6.667,30.633,2.846,2.35,90.088,35.96,5.394,91.9
1341,17,15,13,16,13,9,0,41,1,10,23,9,17,6,0,27,5,14,7,12,4,3,5,0,28,1,2,5,9,3,4,0,18,1,18.636,71.71,5.433,9.81,57.924,93.586,5.022,788.815
1342,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1343,6,14,3,5,3,11,0,25,3,1,6,8,13,1,0,9,0,6,6,3,2,1,3,0,22,3,1,3,7,6,1,0,9,0,15.833,52.291,5.296,6.608,75.886,77.038,4.866,313.746
1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1345,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1348,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1349,4,1,1,3,1,1,1,8,0,1,4,1,4,0,1,3,0,4,1,1,3,1,1,1,7,0,1,4,1,3,0,1,3,0,9.667,49.044,4.202,8.932,48.244,55.187,5.709,147.133
1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1353,26,34,28,26,16,16,1,64,5,12,62,3,48,10,2,55,10,25,15,18,7,4,4,1,49,4,2,15,3,8,5,1,30,4,28.308,113.815,6.672,9.911,74.422,130.135,4.597,1479.595
1354,2,2,1,3,1,2,0,4,0,3,1,0,1,1,0,5,1,2,2,1,2,1,2,0,4,0,1,1,0,1,1,0,5,1,26.0,108.333,3.19,7.258,89.337,133.41,5.131,108.333
1355,6,26,7,16,6,21,0,33,2,2,25,11,15,1,4,17,0,4,7,7,4,1,8,0,21,2,2,8,5,4,1,2,13,0,19.222,70.158,4.731,9.027,64.581,88.96,4.628,631.423
1356,19,24,12,10,3,12,2,37,6,4,16,13,31,3,4,14,5,15,9,9,4,1,4,2,27,5,2,7,9,10,3,1,11,2,25.857,96.39,6.202,11.314,60.0,115.196,4.455,674.731
1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1358,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1359,2,8,3,5,3,7,2,26,1,3,9,8,28,0,9,14,1,2,3,3,4,1,4,2,20,1,1,4,8,6,0,1,11,1,13.143,49.702,5.308,8.262,59.238,62.554,4.76,347.913
1360,19,33,34,29,20,19,1,41,1,13,52,7,22,16,0,53,1,14,12,26,8,3,6,1,28,1,2,9,3,3,7,0,33,1,15.409,62.203,5.646,5.352,84.135,72.245,4.688,1368.469
1361,9,9,8,14,4,12,0,14,2,1,16,0,12,3,0,15,4,8,7,8,4,2,3,0,12,2,1,6,0,5,3,0,10,2,18.333,69.121,4.854,4.647,94.398,79.2,4.32,414.727
1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1363,0,1,0,4,0,2,0,5,0,2,4,0,3,0,0,5,0,0,1,0,2,0,1,0,5,0,1,3,0,3,0,0,5,0,11.5,47.994,2.949,2.747,95.849,65.735,5.716,95.988
1364,6,4,2,7,4,3,0,8,0,2,2,0,4,1,0,6,0,6,4,2,4,2,1,0,7,0,1,2,0,3,1,0,6,0,15.0,67.037,3.795,6.78,73.17,78.613,5.241,201.111
1365,6,15,10,15,3,5,1,19,0,3,17,2,13,5,0,14,0,6,10,10,5,2,3,1,17,0,2,7,2,6,3,0,12,0,16.429,67.965,5.539,6.824,75.398,77.074,4.691,475.753
1366,3,9,2,5,4,7,0,19,0,1,4,4,11,1,3,8,1,3,7,2,4,4,5,0,12,0,1,3,4,5,1,1,7,1,17.0,77.126,4.973,10.302,51.483,97.218,5.719,308.506
1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1368,0,6,4,3,3,4,1,6,1,3,7,4,5,1,0,7,1,0,2,3,3,2,2,1,6,1,2,6,4,3,1,0,7,1,17.0,61.684,4.258,6.542,78.439,75.1,4.418,185.051
1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1370,11,23,13,20,9,13,0,42,3,6,29,5,24,6,0,28,2,10,15,13,6,3,3,0,30,3,2,6,3,5,3,0,23,1,23.222,89.083,5.723,9.445,68.71,111.532,4.803,801.747
1371,11,24,6,14,11,20,0,57,8,10,32,8,19,9,0,38,2,8,9,6,4,1,7,0,35,7,2,9,6,4,6,0,28,1,17.857,72.14,5.635,8.933,62.825,91.153,5.105,1009.963
1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1376,12,26,15,20,9,18,1,32,1,9,34,13,49,2,3,26,9,12,11,12,3,4,4,1,31,1,2,13,10,10,1,1,21,7,24.111,92.524,6.432,8.55,76.71,105.607,4.38,832.716
1377,15,27,12,21,10,14,2,38,3,6,36,9,24,3,0,27,4,13,8,10,6,2,4,2,28,2,3,11,6,6,2,0,19,2,13.412,53.569,5.76,5.167,81.906,61.139,4.559,910.669
1378,12,12,5,10,4,10,0,25,0,2,11,0,12,5,0,11,0,9,8,5,4,2,3,0,21,0,1,8,0,3,4,0,11,0,20.6,85.227,5.225,8.025,74.221,110.392,5.359,426.133
1379,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1380,26,44,21,37,14,19,1,59,4,21,74,5,32,9,0,59,0,21,15,18,6,2,6,1,35,3,2,10,5,5,5,0,43,0,26.133,109.178,5.929,9.834,71.107,128.711,4.925,1637.666
1381,4,6,3,4,2,2,0,5,0,1,9,0,12,2,0,11,0,4,5,3,3,2,1,0,5,0,1,6,0,6,2,0,11,0,12.25,58.935,4.748,4.359,85.63,60.962,4.977,235.739
1382,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1383,12,15,4,11,6,13,1,36,3,2,17,5,25,3,2,10,2,10,12,4,3,3,5,1,30,3,2,8,4,7,3,1,10,1,19.857,79.75,6.118,10.067,58.258,102.654,5.17,558.247
1384,5,2,1,4,2,4,1,4,0,4,5,0,4,1,0,5,0,5,2,1,3,1,2,1,4,0,2,4,0,3,1,0,4,0,19.0,85.54,3.671,4.862,94.045,90.05,4.739,171.081
1385,6,6,1,0,0,0,0,17,0,0,0,23,3,0,0,0,3,5,2,1,0,0,0,0,13,0,0,0,20,3,0,0,0,1,56.0,8.8,3.969,10.886,116.759,10.0,0.179,8.8
1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1387,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1388,11,21,8,13,5,10,1,28,6,3,27,4,19,4,0,21,3,11,12,7,3,2,4,1,26,5,3,6,4,7,2,0,16,2,18.333,75.408,5.945,8.008,70.299,85.966,4.689,678.674
1389,6,15,6,11,8,7,1,27,4,4,11,14,17,2,1,11,2,6,3,5,4,5,3,1,18,4,2,3,10,5,2,1,7,1,16.125,59.08,4.545,6.615,76.356,74.569,4.624,472.643
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1391,21,24,24,17,16,19,0,48,7,13,41,1,36,8,0,41,4,17,11,18,4,3,4,0,37,6,3,9,1,7,4,0,26,2,18.867,72.722,6.179,7.196,77.078,85.558,4.535,1090.837
1392,21,26,17,15,5,17,0,49,5,3,26,3,36,5,3,21,3,17,10,15,4,2,3,0,35,4,1,7,3,9,4,1,20,2,18.0,70.757,6.399,8.584,65.582,94.347,5.242,849.081
1393,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1394,6,9,4,11,3,5,0,15,0,6,16,0,6,4,0,17,3,4,8,4,3,2,3,0,13,0,2,7,0,3,3,0,14,2,24.75,90.68,4.833,8.961,74.896,122.638,4.955,362.722
1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1396,23,62,44,41,15,45,1,86,5,19,70,1,47,15,0,79,6,19,19,32,8,3,8,1,62,2,2,12,1,6,7,0,51,1,46.455,189.837,6.913,17.052,55.548,210.935,4.541,2088.212
1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1398,7,20,5,10,8,12,1,26,0,2,14,3,7,3,0,14,2,6,11,5,3,2,2,1,22,0,1,6,3,2,2,0,13,1,21.167,85.74,4.831,8.46,72.107,99.355,4.694,514.438
1399,7,8,4,4,2,5,0,18,0,4,11,0,7,2,0,14,0,6,5,4,3,2,2,0,14,0,2,7,0,4,2,0,13,0,15.8,61.695,5.012,6.256,78.355,75.746,4.794,308.475
1400,4,4,1,6,2,5,0,14,2,1,9,0,9,0,2,5,1,4,4,1,3,1,3,0,13,2,1,7,0,6,0,2,5,1,13.75,48.857,4.958,4.362,88.282,63.305,4.604,195.43
1401,5,9,9,7,2,8,0,18,1,1,14,0,13,2,0,14,1,5,8,8,2,2,5,0,15,1,1,5,0,7,2,0,14,1,15.167,59.53,5.559,7.052,71.513,74.933,4.941,357.182
1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1403,22,31,14,21,7,30,0,64,12,12,34,6,24,9,2,34,0,21,11,12,6,2,8,0,42,11,2,13,6,2,7,2,26,0,24.75,103.322,6.77,10.153,66.35,123.293,4.982,1239.86
1404,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1405,1,2,2,3,1,1,0,5,0,2,6,0,2,3,0,5,0,1,2,2,3,1,1,0,3,0,1,5,0,2,2,0,5,0,15.5,64.896,3.429,6.823,73.754,71.495,4.613,129.792
1406,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1408,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1409,10,28,12,23,8,29,1,69,10,6,34,18,49,5,0,40,19,8,10,10,7,1,6,1,41,6,2,11,17,11,4,0,26,3,14.182,51.312,6.365,4.804,85.877,60.272,4.25,1128.866
1410,3,9,2,4,1,0,1,10,0,3,9,0,5,1,0,9,1,2,6,2,4,1,0,1,10,0,1,6,0,3,1,0,9,1,26.5,104.325,4.468,11.888,57.028,130.685,4.932,208.65
1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1412,5,12,6,13,5,11,0,22,1,8,14,6,16,2,2,19,0,5,8,6,5,2,5,0,20,1,2,3,5,6,2,1,14,0,17.714,67.372,5.334,5.783,85.152,81.006,4.573,471.607
1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1414,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1415,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1416,23,22,14,14,2,11,1,39,7,5,28,7,29,3,0,21,2,19,12,12,3,1,3,1,29,5,2,7,7,8,1,0,20,2,18.273,69.747,6.484,9.207,61.599,92.689,5.073,767.221
1417,5,3,1,3,2,3,1,10,0,0,2,0,5,0,1,3,1,5,3,1,2,1,3,1,9,0,0,2,0,2,0,1,3,1,11.333,39.458,4.123,3.406,90.826,51.703,4.562,118.375
1418,2,2,0,1,0,3,0,3,0,0,2,0,2,1,0,2,0,2,2,0,1,0,2,0,2,0,0,1,0,2,1,0,2,0,16.0,44.75,2.652,12.038,37.258,64.93,4.058,44.75
1419,2,5,2,3,2,2,0,13,2,1,11,0,5,0,0,8,2,2,4,2,1,1,2,0,13,2,1,7,0,3,0,0,8,1,13.25,50.755,4.371,6.944,68.881,66.705,5.034,203.022
1420,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1422,2,9,9,8,5,5,0,12,0,3,13,1,7,3,0,9,2,2,5,9,4,4,3,0,11,0,2,4,1,6,3,0,8,2,27.0,102.323,4.95,11.547,60.363,124.557,4.613,306.968
1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1425,1,4,2,5,1,3,0,8,0,1,8,0,4,3,0,8,1,1,3,2,3,1,2,0,6,0,1,5,0,3,2,0,7,1,22.5,85.307,3.795,8.132,76.838,101.245,4.5,170.613
1426,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,1,0,6.0,31.833,2.021,-1.45,116.145,29.14,4.857,31.833
1427,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1428,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1431,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1432,3,4,4,4,1,11,0,11,0,4,9,0,9,3,0,10,1,3,4,4,2,1,5,0,9,0,2,5,0,4,3,0,10,1,21.667,85.653,4.473,7.565,79.419,103.723,4.787,256.958
1433,0,5,3,6,3,4,0,15,0,2,11,0,10,1,0,6,0,0,4,3,4,2,1,0,13,0,2,6,0,6,1,0,4,0,19.0,72.554,4.402,8.381,68.813,85.713,4.511,217.662
1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1435,0,1,4,2,1,0,0,2,0,0,4,0,1,1,0,2,0,0,1,4,1,1,0,0,2,0,0,2,0,1,1,0,2,0,17.0,59.25,2.572,6.311,80.098,72.84,4.285,59.25
1436,14,25,24,32,14,24,0,54,5,16,49,2,33,9,2,49,8,13,13,21,8,3,6,0,46,4,3,13,2,7,7,1,35,2,36.111,139.937,6.825,12.653,68.662,168.216,4.658,1259.433
1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1438,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
1439,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
